GM102B_rel,GM302B_rel,GM502B_rel,GM702B_rel,color,source
-3,1,1,-1,green,homthai
-3,1,1,-2,green,homthai
-4,1,1,-2,green,homthai
-4,1,1,-2,green,homthai
-4,1,1,-2,green,homthai
-4,1,1,-2,green,homthai
-4,0,1,-2,green,homthai
-4,0,2,-2,green,homthai
-4,0,1,-2,green,homthai
-5,0,1,-2,green,homthai
-5,0,1,-2,green,homthai
-5,0,1,-3,green,homthai
-5,1,1,-3,green,homthai
-5,1,1,-3,green,homthai
-5,1,1,-3,green,homthai
-5,1,1,-3,green,homthai
-5,1,1,-3,green,homthai
-5,1,1,-3,green,homthai
-5,1,1,-3,green,homthai
-5,1,1,-3,green,homthai
-5,1,1,-3,green,homthai
0,0,0,0,green,homthai
0,0,0,0,green,homthai
1,0,0,0,green,homthai
1,1,0,1,green,homthai
2,1,0,2,green,homthai
2,1,1,2,green,homthai
3,1,1,2,green,homthai
3,1,1,2,green,homthai
3,2,1,2,green,homthai
3,2,1,2,green,homthai
3,2,1,1,green,homthai
3,2,1,1,green,homthai
2,2,1,2,green,homthai
2,2,1,1,green,homthai
2,2,1,1,green,homthai
1,2,1,1,green,homthai
1,2,1,1,green,homthai
1,2,1,1,green,homthai
1,2,1,1,green,homthai
0,2,1,0,green,homthai
0,1,1,0,green,homthai
0,1,1,0,green,homthai
0,1,1,0,green,homthai
1,1,1,0,green,homthai
1,1,1,0,green,homthai
1,1,1,-1,green,homthai
1,2,1,-1,green,homthai
1,1,1,0,green,homthai
0,1,1,0,green,homthai
0,1,1,0,green,homthai
0,1,1,0,green,homthai
0,1,1,0,green,homthai
-1,1,1,0,green,homthai
-1,2,0,0,green,homthai
-1,2,0,0,green,homthai
-1,2,0,0,green,homthai
-1,2,0,-1,green,homthai
-1,2,0,0,green,homthai
-1,2,0,0,green,homthai
-1,2,0,0,green,homthai
-1,2,0,0,green,homthai
-1,2,1,0,green,homthai
-1,2,1,0,green,homthai
-1,2,1,-1,green,homthai
-1,2,0,-1,green,homthai
-1,2,0,-1,green,homthai
-1,1,0,-1,green,homthai
-1,1,0,-2,green,homthai
-1,1,0,-2,green,homthai
-1,1,0,-2,green,homthai
-1,1,0,-2,green,homthai
-1,1,0,-1,green,homthai
-1,1,0,-1,green,homthai
-1,2,0,-1,green,homthai
-1,2,0,-1,green,homthai
-1,2,0,-1,green,homthai
0,0,0,0,green,homthai
0,0,0,0,green,homthai
0,0,0,0,green,homthai
0,0,0,1,green,homthai
1,0,0,1,green,homthai
1,0,1,1,green,homthai
2,0,0,1,green,homthai
2,0,1,1,green,homthai
2,1,1,1,green,homthai
2,1,1,1,green,homthai
2,1,1,2,green,homthai
2,1,1,2,green,homthai
2,1,1,2,green,homthai
1,1,1,2,green,homthai
1,1,1,2,green,homthai
1,1,1,2,green,homthai
1,1,1,1,green,homthai
1,1,1,1,green,homthai
1,1,1,0,green,homthai
0,1,1,0,green,homthai
0,1,1,-1,green,homthai
-1,1,1,0,green,homthai
-1,1,1,0,green,homthai
-1,1,1,0,green,homthai
-1,1,1,0,green,homthai
-1,1,0,0,green,homthai
-1,1,0,0,green,homthai
-2,1,0,0,green,homthai
-2,0,0,0,green,homthai
-2,0,0,0,green,homthai
-2,0,0,0,green,homthai
-2,0,0,0,green,homthai
-2,0,0,0,green,homthai
-2,0,0,0,green,homthai
-2,1,0,0,green,homthai
-2,1,0,0,green,homthai
-3,1,0,0,green,homthai
-3,1,0,-1,green,homthai
-3,1,0,-1,green,homthai
-3,1,0,-1,green,homthai
-3,1,0,-1,green,homthai
-3,1,0,-1,green,homthai
-3,1,-1,-1,green,homthai
-4,0,-1,-1,green,homthai
-4,0,-1,-1,green,homthai
-3,0,-1,-1,green,homthai
-2,0,-1,-1,green,homthai
0,0,-1,-1,green,homthai
0,0,-1,-1,green,homthai
1,0,-1,-1,green,homthai
1,0,-1,-1,green,homthai
1,0,-1,-1,green,homthai
1,0,0,-1,green,homthai
1,0,0,-1,green,homthai
1,0,0,-1,green,homthai
0,0,0,-1,green,homthai
0,0,0,0,green,homthai
0,0,0,-1,green,homthai
1,1,0,-1,green,homthai
1,1,1,-1,green,homthai
1,1,1,0,green,homthai
1,1,1,1,green,homthai
1,2,2,1,green,homthai
1,2,2,1,green,homthai
1,2,2,1,green,homthai
1,2,2,0,green,homthai
0,2,3,0,green,homthai
-1,2,3,0,green,homthai
-1,2,3,-1,green,homthai
-1,2,3,-1,green,homthai
-2,2,2,-1,green,homthai
-3,2,2,-1,green,homthai
-3,2,2,-1,green,homthai
-3,2,2,-1,green,homthai
-3,2,2,-1,green,homthai
-4,2,2,-2,green,homthai
-5,2,2,-2,green,homthai
-5,3,2,-2,green,homthai
-5,3,2,-2,green,homthai
-6,3,2,-2,green,homthai
-6,3,2,-2,green,homthai
-6,3,2,-2,green,homthai
-6,2,2,-2,green,homthai
-6,2,2,-2,green,homthai
-6,2,2,-3,green,homthai
-7,2,2,-3,green,homthai
-7,2,2,-3,green,homthai
-7,2,2,-3,green,homthai
-7,2,2,-3,green,homthai
-7,2,2,-3,green,homthai
-7,2,2,-3,green,homthai
-7,2,2,-3,green,homthai
-7,2,2,-3,green,homthai
-7,2,1,-3,green,homthai
-7,2,1,-3,green,homthai
-7,3,1,-3,green,homthai
-7,2,1,-4,green,homthai
-7,3,1,-4,green,homthai
-8,3,1,-3,green,homthai
-8,3,1,-4,green,homthai
-8,3,1,-4,green,homthai
-8,3,1,-4,green,homthai
-8,3,1,-4,green,homthai
-8,3,1,-4,green,homthai
-8,3,1,-4,green,homthai
-8,3,1,-4,green,homthai
-8,3,1,-4,green,homthai
-9,3,1,-4,green,homthai
-9,3,1,-4,green,homthai
-9,3,1,-4,green,homthai
-9,3,0,-4,green,homthai
-9,3,0,-4,green,homthai
-9,3,0,-4,green,homthai
0,0,0,0,green,homthai
0,0,0,0,green,homthai
1,0,0,0,green,homthai
1,0,0,0,green,homthai
1,0,0,0,green,homthai
2,0,1,0,green,homthai
2,0,1,1,green,homthai
3,0,1,1,green,homthai
3,1,1,1,green,homthai
3,1,2,1,green,homthai
3,1,2,0,green,homthai
